s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
343.9937975,-108.0969127,-316.8592735,-3.1204493,0.0009744,41.8204269,-7.5534542
345.9937615,-108.0527105,-318.8587598,-3.1185444,0.0009301,41.457627,-7.5545147
347.9937254,-108.0047303,-320.8582213,-3.1167318,0.0008779,41.0915724,-7.5552269
349.9936894,-107.9532903,-322.857536,-3.1150231,0.0008301,40.7221924,-7.5539376
351.9936533,-107.8984685,-324.8568212,-3.1134058,0.0007795,40.349495,-7.5510609
353.9936172,-107.8405756,-326.8559608,-3.1118935,0.0007327,39.9734668,-7.5479447
355.9935812,-107.779716,-328.8550705,-3.110481,0.0006804,39.594025,-7.541572
357.9935451,-107.7161669,-330.854035,-3.109154,0.0006496,39.2112366,-7.5386734
359.9935091,-107.6501041,-332.852973,-3.1079696,0.0005777,38.8248235,-7.5301777
361.993473,-107.5817358,-334.85178,-3.1068399,0.0005576,38.4349679,-7.5266347
363.9934369,-107.5113037,-336.8505745,-3.1058836,0.0004676,38.0413033,-7.518998
365.9934009,-107.4389997,-338.8492499,-3.1049972,0.0004199,37.6439279,-7.5113288
367.9933648,-107.3650182,-340.8479308,-3.1042249,0.0003615,37.2427246,-7.5022441
369.9933287,-107.2896075,-342.8464913,-3.1035447,0.0003208,36.8376452,-7.49372
371.9932927,-107.2130019,-344.8450736,-3.1030097,0.0002521,36.4285295,-7.4839536
373.9932566,-107.1353842,-346.8435486,-3.1025536,0.0002044,36.0153091,-7.4740008
375.9932206,-107.0570429,-348.8420627,-3.1022428,0.0001462,35.5978514,-7.4634158
377.9931845,-106.9780993,-350.8404854,-3.1019913,0.0001051,35.1760415,-7.4527543
379.9931484,-106.8989888,-352.8389677,-3.1019424,3.82e-05,34.7497254,-7.4416662
381.9931124,-106.8196579,-354.8373753,-3.101904,-2.4e-06,34.31876,-7.4302227
383.9930763,-106.7407398,-356.8358654,-3.1021303,-8.05e-05,33.8829889,-7.4188025
385.9930403,-106.6620181,-358.8343028,-3.1023243,-0.0001162,33.4422227,-7.4061937
387.9930042,-106.5841446,-360.8328703,-3.1028156,-0.0002245,32.9963334,-7.3944657
389.9929681,-106.5070872,-362.8313834,-3.1033062,-0.0002635,32.5450563,-7.3814973
391.9929321,-106.4310203,-364.8301024,-3.1039745,-0.0003529,32.0882414,-7.3716313
393.992896,-106.3565054,-366.8287186,-3.1046655,-0.0003131,31.6254524,-7.3627641
395.99286,-106.2833761,-368.8274926,-3.1052689,-0.0001951,31.1563591,-7.3522522
397.9928239,-106.2109508,-370.8261217,-3.1053566,0.0001544,30.6807796,-7.3240773
399.9927878,-106.1389013,-372.8248302,-3.1045962,0.0007842,30.1995771,-7.2611586
401.9927518,-106.0628507,-374.8231745,-3.1022413,0.0015971,29.7148169,-7.1550503
403.9927157,-105.9808858,-376.8217632,-3.0981047,0.0025289,29.2292774,-7.0219061
405.9926797,-105.8882829,-378.819294,-3.0921275,0.0034355,28.7448002,-6.8847271
407.9926436,-105.78197,-380.8170722,-3.0844929,0.0042457,28.2617255,-6.7385938
409.9926075,-105.6588358,-382.8129985,-3.075199,0.0050381,27.780771,-6.6022861
411.9925715,-105.5156704,-384.8085193,-3.0645313,0.005757,27.3013291,-6.4457267
413.9925354,-105.3497108,-386.801441,-3.0522267,0.0065419,26.8249908,-6.3044281
415.9924993,-105.157538,-388.7927353,-3.0384794,0.0072651,26.350766,-6.1325001
417.9924633,-104.9366859,-390.780447,-3.0231193,0.008096,25.8811382,-5.9987371
419.9924272,-104.6832895,-392.7648391,-3.0062271,0.0088097,25.4133586,-5.8260914
421.9923912,-104.3953722,-394.7440684,-2.9877623,0.0096605,24.9506483,-5.6793865
423.9923551,-104.0685872,-396.7175867,-2.9675704,0.0104493,24.4911763,-5.5056108
425.992319,-103.7011407,-398.6836083,-2.9457852,0.0113375,24.0373807,-5.3022106
427.992283,-103.2880733,-400.6406126,-2.9218635,0.0123244,23.5921006,-5.0707484
429.9922469,-102.827399,-402.5869929,-2.8961531,0.0133948,23.1582508,-4.8413628
431.9922109,-102.3140014,-404.5201679,-2.8681581,0.0144658,22.7363031,-4.5557255
433.9921748,-101.7452938,-406.4378238,-2.8380239,0.0156671,22.3319705,-4.2947644
435.9921387,-101.115978,-408.3364098,-2.8054074,0.0168013,21.9439777,-3.9839305
437.9921027,-100.4236465,-410.2131981,-2.7705628,0.0180188,21.5778294,-3.7649241
439.9920666,-99.663082,-412.06316,-2.7333294,0.0190429,21.2260052,-3.5031059
441.9920306,-98.8332661,-413.8836225,-2.6941144,0.0201331,20.8933273,-3.3893419
443.9919945,-97.9298055,-415.6677548,-2.6528246,0.0209735,20.5663318,-3.2052672
445.9919584,-96.9528164,-417.4140376,-2.6098713,0.0219426,20.2522386,-3.1885545
447.9919224,-95.899051,-419.1136988,-2.5649804,0.0226676,19.9348734,-3.0658234
449.9918863,-94.7696401,-420.7659553,-2.518686,0.0235955,19.6248849,-3.0413648
451.9918503,-93.5624284,-422.3597944,-2.4701852,0.0244,19.3124537,-2.8877103
453.9918142,-92.2788945,-423.8955792,-2.4203259,0.0254404,19.0110556,-2.74298
455.9917781,-90.9195216,-425.3600854,-2.3680545,0.0264746,18.7202701,-2.4145571
457.9917421,-89.4835472,-426.7534925,-2.3138272,0.0277336,18.4605107,-1.9833854
459.991706,-87.9741345,-428.0629325,-2.2570427,0.0289646,18.2443706,-1.1735829
461.99167,-86.3904026,-429.2841114,-2.197871,0.0301276,18.1152646,-0.5873197
463.9916339,-84.7343556,-430.40561,-2.136578,0.0306246,18.0503068,-0.1219971
465.9915978,-83.01433,-431.4251303,-2.0750989,0.0307384,18.0367845,-0.1219971
467.9915618,-81.23198,-432.3348378,-2.0140254,0.0300535,18.0232521,1.394672
469.9915257,-79.4007471,-433.1381075,-1.9545385,0.02939,18.1773541,1.5470018
471.9914896,-77.5236423,-433.8303499,-1.8966244,0.028393,18.3467735,1.9337359
473.9914536,-75.6118053,-434.4168827,-1.840562,0.0276594,18.556371,2.0043707
475.9914175,-73.6690693,-434.8943844,-1.7857839,0.0267885,18.7711545,2.1792865
477.9913815,-71.7046773,-435.2689227,-1.732814,0.0261869,19.001927,2.1431818
479.9913454,-69.722453,-435.5376863,-1.6807942,0.0254828,19.2261749,2.2114234
481.9913093,-67.7298801,-435.7067959,-1.6302773,0.0250487,19.4548538,2.0844912
483.9912733,-65.7309697,-435.7737422,-1.5803868,0.0245517,19.6679727,2.0464251
485.9912372,-63.7314987,-435.7439994,-1.5315358,0.0243162,19.8749768,1.7992284
487.9912012,-61.7358854,-435.6153938,-1.4831215,0.0239346,20.055211,1.7437581
489.9911651,-59.7486081,-435.392805,-1.4354563,0.0237269,20.2283562,1.5237464
491.991129,-57.7747134,-435.0736347,-1.3875273,0.023726,20.3784511,0.0917337
493.991093,-55.8176549,-434.6625932,-1.3399905,0.0238235,20.387452,-0.1576102
495.9910569,-53.8827505,-434.1576475,-1.2924138,0.0237602,20.3719849,-1.204142
497.9910209,-51.9735574,-433.5624609,-1.2447217,0.0239358,20.2534266,-1.4088877
499.9909848,-50.0955652,-432.8747107,-1.1963654,0.0241731,20.1138221,-1.6043886
501.9909487,-48.2525818,-432.0982757,-1.1476507,0.0245463,19.9536563,-1.5758755
503.9909127,-46.4505612,-431.2310089,-1.0981865,0.0248416,19.7950754,-1.7409668
505.9908766,-44.6931992,-430.2764306,-1.0480671,0.0252687,19.6183911,-1.7587939
507.9908406,-42.9875822,-429.2325573,-0.9968534,0.0257052,19.4382669,-1.7765229
509.9908045,-41.3368776,-428.1036771,-0.9449191,0.0262247,19.2546165,-1.7410851
511.9907684,-39.7491054,-426.8879892,-0.8918502,0.0266467,19.0729138,-1.8139911
513.9907324,-38.2271582,-425.5909472,-0.8379793,0.0272288,18.8817427,-1.8022846
515.9906963,-36.7801018,-424.2105599,-0.7826476,0.0277612,18.6898689,-1.8274982
517.9906602,-35.4117178,-422.7526886,-0.726176,0.0283211,18.4932782,-1.6038008
519.9906242,-34.127182,-421.2201259,-0.6687178,0.0291268,18.3190134,-1.5090567
521.9905881,-32.9346972,-419.6151049,-0.6096816,0.0297441,18.1535157,-0.1233962
523.9905521,-31.839854,-417.9428702,-0.5494735,0.0303899,18.1399161,-0.1233962
525.990516,-30.8507706,-416.2042613,-0.4882199,0.0301179,18.1263063,0.8855506
527.9904799,-29.9669633,-414.4126533,-0.4285439,0.0294852,18.2237515,1.2951025
529.9904439,-29.192361,-412.5672388,-0.3707266,0.0279267,18.3653325,2.2242317
531.9904078,-28.5199244,-410.6860118,-0.3163285,0.0265157,18.6059722,2.6474471
533.9903718,-27.9499363,-408.7676605,-0.2646255,0.0248733,18.8884039,3.0931115
535.9903357,-27.4745661,-406.8267534,-0.2161718,0.0236401,19.2131211,3.2798664
537.9902996,-27.0931128,-404.8621874,-0.169737,0.0224199,19.5515537,3.4635066
539.9902636,-26.7990858,-402.8852338,-0.1258628,0.0214899,19.902689,3.5247512
541.9902275,-26.5923197,-400.8950251,-0.0834893,0.0204364,20.2537843,3.6622793
543.9901915,-26.4657134,-398.8999724,-0.0435877,0.0194555,20.6122447,3.7802448
