gear_bin,throttle_bin,rpm_bin,torque
3,40,4000,179.8249994913737
3,40,4500,1024.2898559570312
3,40,4750,1150.8933532714843
3,40,5000,1247.8199951171875
3,40,5500,1607.4000244140625
3,40,5750,1706.9000244140625
3,45,3500,83.1538466673631
3,45,3750,126.96896546462486
3,45,4000,335.5296280472367
3,45,4250,1189.0
3,45,4500,1084.654875220322
3,45,4750,1255.2799967447916
3,45,5000,1261.9199951171875
3,45,5250,1073.0
3,45,5500,1032.5999908447266
3,45,5750,1149.1374969482422
3,50,3250,240.1999969482422
3,50,3500,23.2461550785945
3,50,3750,4.323809669131322
3,50,4000,430.3307647705078
3,50,4250,1228.1222195095486
3,50,4500,1129.5371459960938
3,50,4750,1225.2500101725261
3,50,5000,1368.5333387586807
3,50,5250,1212.5
3,50,5500,1056.4000244140625
3,50,5750,1232.4749755859375
3,55,3250,343.1000061035156
3,55,3500,-195.25714329310827
3,55,3750,-210.74999809265137
3,55,4000,536.0550018310547
3,55,4250,1358.9000244140625
3,55,4500,1154.8480029296875
3,55,4750,1140.6458231608074
3,55,5000,1436.1999918619792
3,55,5250,1309.0999755859375
3,55,5500,1282.199951171875
3,55,5750,1590.9000244140625
3,60,3500,-164.29999796549478
3,60,3750,-167.04444715711804
3,60,4000,579.0181815407493
3,60,4250,1342.2666829427083
3,60,4500,1295.27142707669
3,60,4750,1266.259991455078
3,60,5000,1578.423067533053
3,60,5250,1284.300048828125
3,60,5500,1390.5833129882812
3,60,5750,1512.1199951171875
3,65,4000,657.1789454409951
3,65,4250,1269.75
3,65,4500,1417.4107962943413
3,65,4750,1538.0499877929688
3,65,5000,1617.0999959309895
3,65,5500,1039.800048828125
3,65,5750,1823.9250183105469
3,70,4000,639.7571367536273
3,70,4250,1595.8400146484375
3,70,4500,1393.6785627092634
3,70,4750,1479.004873880526
3,70,5000,1573.2499694824219
3,70,5250,1773.199951171875
3,70,5500,1851.8499755859375
3,70,5750,1980.300048828125
3,75,4000,605.4214324951172
3,75,4250,710.0400024414063
3,75,4500,1457.463330078125
3,75,4750,1551.3861083984375
3,75,5500,1831.1500244140625
3,80,4000,686.4299926757812
3,80,4250,845.8636363636364
3,80,4500,1571.9624938964844
3,80,4750,1491.1882360121783
3,80,5000,1744.199951171875
3,80,5250,1979.1000162760417
3,80,5750,1984.4000244140625
3,85,4000,935.6714477539062
3,85,4250,986.7999877929688
3,85,4500,1564.7076885516826
3,85,4750,1638.5250244140625
3,85,5250,1740.0
3,85,5500,1829.0750122070312
3,85,5750,1988.5999755859373
3,90,4000,661.057146344866
3,90,4250,914.5823471966912
3,90,4500,1541.1266682942708
3,90,5000,1599.0999755859375
3,90,5500,1988.5999755859373
3,95,4000,776.3740709092882
3,95,4250,1072.9875892376078
3,95,4500,1448.0074055989583
3,95,4750,1678.0516478150755
3,95,5000,1798.5262549814552
3,95,5250,1856.7402078379755
3,95,5500,1924.5893187291415
3,95,5750,1936.1237234341895
3,95,6000,1919.6519946289063
3,95,6250,1883.6222059461807
4,0,4750,-167.18333180745444
4,0,5000,-136.14285932268416
4,5,2750,-187.3000030517578
4,5,3000,-188.95000457763672
4,5,3250,-183.8999938964844
4,5,3500,-183.95000457763672
4,5,3750,-187.3000030517578
4,5,4000,-187.6344846528152
4,5,4250,-179.79422994760367
4,5,4500,-179.7349998474121
4,5,4750,-174.8470557717716
4,5,5000,-58.590475286756245
4,10,5000,298.20000712076825
4,20,5000,219.32258162959928
4,25,3750,-173.89999389648438
4,25,5000,243.89642933436804
4,30,5000,278.6741903981855
4,35,5000,351.9804342518682
4,40,5000,396.02282083327873
4,45,4000,75.76666895548502
4,45,5000,467.38425187238556
4,50,4000,-50.09999847412109
4,50,5000,1248.960009765625
4,55,3750,-157.1999969482422
4,55,5000,1346.619970703125
4,60,3750,-117.0
4,60,5000,1390.3333740234375
4,65,5000,1410.433349609375
4,70,5000,1416.87998046875
4,75,5000,1402.0
4,80,5000,1364.1666666666667
4,85,5000,1365.5249938964844
4,85,5250,1495.199951171875
4,90,4750,1516.0750122070312
4,90,5000,1452.8000081380208
4,90,5250,1455.0
4,90,5500,1577.0999755859375
